일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"2021/04/14","43840","300","0.69","43813.66","43660","43895","43480","6682250","292060089030","4675536000000","4543476789707","106650000","코스피 200","430.71","1.63","0.38"
"2021/04/13","43540","490","1.14","43649.76","43060","43690","43045","4687090","203812595245","4732798000000","4655247032200","108700000","코스피 200","429.08","4.86","1.15"
"2021/04/12","43050","0","0.00","43160.82","43200","43255","42950","5890537","253934456320","4838820000000","4691580874843","112400000","코스피 200","424.22","0.08","-0.02"
"2021/04/09","43050","205","-0.47","43168.82","43290","43475","42945","7187076","310176890230","4858192500000","4852175162266","112850000","코스피 200","424.30","2.56","-0.60"
"2021/04/08","43255","40","-0.09","43426.77","43230","43350","43065","5325846","230272572285","5004603500000","4900711507372","115700000","코스피 200","426.86","0.16","0.04"
"2021/04/07","43295","105","0.24","43411.63","43270","43445","43135","5107254","221136002215","5097986250000","5022725335596","117750000","코스피 200","426.70","0.82","0.19"
"2021/04/06","43190","60","0.14","43330.92","43380","43405","42960","4911544","212278282145","4994923500000","5102215486921","115650000","코스피 200","425.88","1.03","0.24"
"2021/04/05","43130","85","0.20","43227.90","43200","43260","42880","5186919","223561727765","4940541500000","4999306411043","114550000","코스피 200","424.85","1.11","0.26"
"2021/04/02","43045","475","1.12","43117.34","42920","43190","42895","5352010","230445530640","4932957000000","4939091412968","114600000","코스피 200","423.74","4.32","1.03"
"2021/04/01","42570","385","0.91","42683.41","42485","42650","42315","5221705","222156542815","4814667000000","4891519169521","113100000","코스피 200","419.42","4.38","1.06"
"2021/03/31","42185","115","-0.27","42242.86","42410","42695","42175","7237093","306821963975","4709955250000","4777667038625","111650000","코스피 200","415.04","1.57","-0.38"
"2021/03/30","42300","470","1.12","42405.43","41940","42455","41940","5099664","215601592100","4741830000000","4734566311089","112100000","코스피 200","416.61","4.56","1.11"
"2021/03/29","41830","75","-0.18","41885.36","42050","42060","41670","6417371","268714517650","4743522000000","4695348903695","113400000","코스피 200","412.05","0.84","-0.20"
"2021/03/26","41905","385","0.93","41969.71","41685","41955","41575","6635123","277566455115","4768789000000","4759365400024","113800000","코스피 200","412.89","4.36","1.07"
"2021/03/25","41520","180","0.44","41532.10","41230","41795","41210","9780916","405663749425","4724976000000","4726352841826","113800000","코스피 200","408.53","1.43","0.35"
"2021/03/24","41340","190","-0.46","41394.64","41265","41515","41015","5672036","234404140920","4690023000000","4710709732356","113450000","코스피 200","407.10","1.61","-0.39"
"2021/03/23","41530","395","-0.94","41555.48","42180","42270","41485","6645759","277388673655","4823709500000","4714469352318","116150000","코스피 200","408.71","3.93","-0.95"
"2021/03/22","41925","70","0.17","41950.88","42025","42095","41615","6345196","265753193295","4867492500000","4872594423057","116100000","코스피 200","412.64","0.27","-0.07"
"2021/03/19","41855","445","-1.05","41980.92","41715","42075","41645","9277711","388305287530","4926333500000","4873984277408","117700000","코스피 200","412.91","4.15","-1.00"
"2021/03/18","42300","305","0.73","42398.54","42320","42715","42300","8690814","369196989480","5010435000000","4990308684612","118450000","코스피 200","417.06","3.05","0.74"
"2021/03/17","41995","335","-0.79","42092.83","42340","42355","41730","8129905","341172859805","5194781500000","4985895955507","123700000","코스피 200","414.01","3.30","-0.79"
"2021/03/16","42330","350","0.83","42423.62","42180","42435","42090","5575783","235725803290","5225638500000","5247801205496","123450000","코스피 200","417.31","3.13","0.76"
"2021/03/15","41980","205","-0.49","42109.82","42230","42315","41935","8495978","357507311195","5205520000000","5198457785232","124000000","코스피 200","414.18","1.95","-0.47"
"2021/03/12","42185","370","0.88","42306.89","42255","42415","42015","6953557","293839176895","5283671250000","5246053954311","125250000","코스피 200","416.13","5.11","1.24"
"2021/03/11","41815","835","2.04","41794.53","41145","41935","41130","6417962","267460808655","5170424750000","5234765114785","123650000","코스피 200","411.02","7.54","1.87"
"2021/03/10","40980","235","-0.57","41035.46","41760","41760","40875","8187756","337508916205","5097912000000","5074034261528","124400000","코스피 200","403.48","2.31","-0.57"
"2021/03/09","41215","260","-0.63","41266.40","41485","41540","40565","11896444","488639162070","5123024500000","5133539603033","124300000","코스피 200","405.79","2.55","-0.62"
"2021/03/08","41475","395","-0.94","41522.10","42250","42250","41390","8296841","346173833025","5153268750000","5161197221461","124250000","코스피 200","408.34","3.66","-0.89"
"2021/03/05","41870","225","-0.53","41885.71","41470","42005","41235","10363864","431982631345","5175132000000","5204298980744","123600000","코스피 200","412.00","2.17","-0.52"
"2021/03/04","42095","545","-1.28","42104.34","42095","42435","41790","6777655","285346043155","5154532750000","5204096744228","122450000","코스피 200","414.17","6.10","-1.45"
"2021/03/03","42640","470","1.11","42720.97","42070","42650","41925","6142052","260567807090","5231928000000","5231182706938","122700000","코스피 200","420.27","5.47","1.32"
"2021/03/02","42170","465","1.11","42173.59","42705","42920","41835","8601611","364598093960","5138414500000","5174699306574","121850000","코스피 200","414.80","4.89","1.19"
"2021/02/26","41705","1185","-2.76","41681.28","41960","41995","41325","10297433","428760898900","5088010000000","5078863966125","122000000","코스피 200","409.91","12.61","-2.98"
"2021/02/25","42890","1505","3.64","42949.49","42010","42920","41960","8858726","376632746420","5213279500000","5239837824765","121550000","코스피 200","422.52","15.36","3.77"
"2021/02/24","41385","900","-2.13","41406.04","42250","42680","41350","10408909","436846427505","5044831500000","5032904160698","121900000","코스피 200","407.16","8.66","-2.08"
"2021/02/23","42285","45","-0.11","42276.85","42050","42615","41730","7733807","325943752925","5105913750000","5153548408543","120750000","코스피 200","415.82","1.06","-0.25"
"2021/02/22","42330","450","-1.05","42374.63","43055","43260","42290","8518245","363276427210","5121930000000","5116736787463","121000000","코스피 200","416.88","4.06","-0.96"
"2021/02/19","42780","370","0.87","42781.41","42440","42805","41720","9728222","411428065995","5490813000000","5176550074756","128350000","코스피 200","420.94","3.50","0.84"
"2021/02/18","42410","615","-1.43","42427.18","42950","43125","42385","8841408","377264650295","5481492500000","5445528608901","129250000","코스피 200","417.44","6.76","-1.59"
"2021/02/17","43025","470","-1.08","43107.02","43255","43270","42735","17530618","752960197605","5498595000000","5571582578480","127800000","코스피 200","424.20","5.04","-1.17"
"2021/02/16","43495","190","0.44","43612.43","43475","43870","43280","8542745","371703351650","5512991250000","5573668478968","126750000","코스피 200","429.24","2.23","0.52"
"2021/02/15","43305","625","1.46","43394.91","43305","43510","43145","6603808","286361991960","5462925750000","5500304327795","126150000","코스피 200","427.01","7.36","1.75"
"2021/02/10","42680","295","0.70","42653.60","42525","42795","42095","6526416","277487956930","5381948000000","5380751764436","126100000","코스피 200","419.65","1.74","0.42"
"2021/02/09","42385","145","-0.34","42471.93","42835","43145","42385","8236149","352167874760","5416803000000","5355709881364","127800000","코스피 200","417.91","1.04","-0.25"
"2021/02/08","42530","420","-0.98","42577.60","42905","43090","42475","7391704","315915071240","5901037500000","5441417903091","138750000","코스피 200","418.95","4.35","-1.03"
"2021/02/05","42950","540","1.27","43014.15","42660","43030","42385","13252969","566378907190","6053802500000","5968213702061","140950000","코스피 200","423.30","4.99","1.19"
"2021/02/04","42410","720","-1.67","42520.55","43030","43030","42125","18129738","769248198985","6100678500000","5993271566551","143850000","코스피 200","418.31","6.90","-1.62"
"2021/02/03","43130","355","0.83","43213.56","43125","43405","42580","10276903","442166121935","6262476000000","6216271164190","145200000","코스피 200","425.21","4.18","0.99"
"2021/02/02","42775","625","1.48","42793.95","42600","43400","42330","12520132","536873007270","6493245000000","6213681141226","151800000","코스피 200","421.03","5.58","1.34"
"2021/02/01","42150","1025","2.49","42231.91","41000","42170","40705","10696458","446091393985","5983192500000","6410803271423","141950000","코스피 200","415.45","10.89","2.69"
"2021/01/29","41125","945","-2.25","41144.32","42555","42620","40910","13333276","555949253910","5837693750000","5840436818740","141950000","코스피 200","404.56","11.84","-2.84"
"2021/01/28","42070","790","-1.84","42232.24","42155","42645","41830","10835668","456871890425","5971836500000","5994866390039","141950000","코스피 200","416.40","7.27","-1.72"
"2021/01/27","42910","145","-0.34","42962.68","43370","43805","42775","8780005","379271759730","5923725500000","6098552796866","138050000","코스피 200","423.67","3.06","-0.72"
"2021/01/26","43055","1205","-2.72","43320.44","44160","44195","42855","10607621","459388395640","5980339500000","5980386423482","138900000","코스피 200","426.73","10.57","-2.42"
"2021/01/25","44260","1035","2.39","44381.63","43405","44320","43265","6385034","280656320010","5899858000000","6164608193270","133300000","코스피 200","437.30","10.17","2.38"
"2021/01/22","43225","305","-0.70","43349.16","43675","43930","43225","13042949","566951288400","5805117500000","5778443219717","134300000","코스피 200","427.13","3.14","-0.73"
"2021/01/21","43530","630","1.47","43663.74","43300","43590","43010","9087554","393612197040","5600134500000","5864040175114","128650000","코스피 200","430.27","6.26","1.48"
"2021/01/20","42900","245","0.57","43035.92","43410","43495","42445","10680032","457746977360","5499780000000","5536571235370","128200000","코스피 200","424.01","2.66","0.63"
"2021/01/19","42655","1095","2.63","42769.82","41785","42950","41590","9750896","413988374005","5410786750000","5483091210859","126850000","코스피 200","421.35","10.85","2.64"
"2021/01/18","41560","990","-2.33","41681.68","42095","42495","41455","11959669","501642575145","5269808000000","5287320926701","126800000","코스피 200","410.50","9.93","-2.36"
"2021/01/15","42550","955","-2.20","42677.27","43735","44185","42535","11911736","512902640485","5435762500000","5411477488072","127750000","코스피 200","420.43","9.42","-2.19"
"2021/01/14","43505","55","-0.13","43609.60","43340","43830","43240","9091710","395584999430","5788340250000","5571126396031","133050000","코스피 200","429.85","0.53","-0.12"
"2021/01/13","43560","245","0.57","43664.44","43360","43895","43015","11988847","521934502260","5976432000000","5809553698140","137200000","코스피 200","430.38","2.51","0.59"
"2021/01/12","43315","340","-0.78","43413.04","43430","43725","42125","25494989","1093935754440","6133404000000","5956269703483","141600000","코스피 200","427.87","3.26","-0.76"
"2021/01/11","43655","110","0.25","43741.49","44000","45370","42930","23107696","1019726637330","6196827250000","6193795051268","141950000","코스피 200","431.13","0.91","0.21"
"2021/01/08","43545","1845","4.42","43651.13","42245","43785","42115","11521190","494420112265","6518686500000","6196278518911","149700000","코스피 200","430.22","19.41","4.72"
"2021/01/07","41700","950","2.33","41709.04","41210","42040","41190","8752407","364764290470","6177855000000","6243842734584","148150000","코스피 200","410.81","8.73","2.17"
"2021/01/06","40750","400","-0.97","40835.69","41270","41680","40595","15221599","625103057790","5880225000000","6049807550104","144300000","코스피 200","402.08","3.95","-0.97"
"2021/01/05","41150","610","1.50","41230.17","40325","41150","40200","9126676","370933192250","5623147500000","5949512833326","136650000","코스피 200","406.03","6.15","1.54"
"2021/01/04","40540","1040","2.63","40615.17","39585","40615","39405","12185235","489888903885","5787085000000","5550062900449","142750000","코스피 200","399.88","10.59","2.72"
"2020/12/30","39500","815","2.11","39554.42","38520","39590","38440","12736997","498185042565","5638625000000","5646393766858","142750000","코스피 200","389.29","8.02","2.10"
"2020/12/29","38685","645","1.70","38752.99","38395","38720","37940","16428368","631895691555","5216672250000","5531989027842","134850000","코스피 200","381.27","1.34","0.35"
"2020/12/28","38040","190","0.50","38037.90","38090","38370","37890","9844389","375734145760","4985142000000","5129410289653","131050000","코스피 200","379.93","0.75","0.20"
"2020/12/24","37850","740","1.99","37962.89","37180","37985","37180","10047380","378337158545","5073792500000","4975037148341","134050000","코스피 200","379.18","7.86","2.12"
"2020/12/23","37110","520","1.42","37178.37","36780","37160","36465","15811599","585136437105","4969029000000","4983760300602","133900000","코스피 200","371.32","4.89","1.33"
"2020/12/22","36590","605","-1.63","36688.20","37055","37145","36590","13099479","482358584594","5049420000000","4912550219024","138000000","코스피 200","366.43","5.75","-1.54"
