date,0
2024-09-23,defensive
2024-09-24,defensive
2024-09-25,defensive
2024-09-26,defensive
2024-09-27,defensive
2024-09-30,defensive
2024-10-02,defensive
2024-10-04,defensive
2024-10-07,defensive
2024-10-08,defensive
2024-10-10,growth
2024-10-11,growth
2024-10-14,defensive
2024-10-15,growth
2024-10-16,growth
2024-10-17,growth
2024-10-18,growth
2024-10-21,growth
2024-10-22,growth
2024-10-23,growth
2024-10-24,growth
2024-10-25,growth
2024-10-28,growth
2024-10-29,growth
2024-10-30,growth
2024-10-31,growth
2024-11-01,growth
2024-11-04,growth
2024-11-05,growth
2024-11-06,growth
2024-11-07,growth
2024-11-08,growth
2024-11-11,growth
2024-11-12,growth
2024-11-13,growth
2024-11-14,growth
2024-11-15,growth
2024-11-18,defensive
2024-11-19,defensive
2024-11-20,defensive
2024-11-21,defensive
2024-11-22,growth
2024-11-25,growth
2024-11-26,growth
2024-11-27,growth
2024-11-28,growth
2024-11-29,growth
2024-12-02,growth
2024-12-03,growth
2024-12-04,growth
2024-12-05,growth
2024-12-06,growth
2024-12-09,defensive
2024-12-10,defensive
2024-12-11,growth
2024-12-12,growth
2024-12-13,growth
2024-12-16,growth
2024-12-17,defensive
2024-12-18,defensive
2024-12-19,defensive
2024-12-20,defensive
2024-12-23,defensive
2024-12-24,defensive
2024-12-26,defensive
2024-12-27,defensive
2024-12-30,defensive
2025-01-02,defensive
2025-01-03,defensive
2025-01-06,defensive
2025-01-07,defensive
2025-01-08,defensive
2025-01-09,defensive
2025-01-10,defensive
2025-01-13,defensive
2025-01-14,defensive
2025-01-15,defensive
2025-01-16,defensive
2025-01-17,defensive
2025-01-20,defensive
2025-01-21,defensive
2025-01-22,defensive
2025-01-23,defensive
2025-01-24,defensive
2025-01-31,defensive
2025-02-03,defensive
2025-02-04,defensive
2025-02-05,defensive
2025-02-06,defensive
2025-02-07,defensive
2025-02-10,defensive
2025-02-11,defensive
2025-02-12,defensive
2025-02-13,defensive
2025-02-14,defensive
2025-02-17,defensive
2025-02-18,defensive
2025-02-19,defensive
2025-02-20,defensive
2025-02-21,defensive
2025-02-24,defensive
2025-02-25,defensive
2025-02-26,defensive
2025-02-27,defensive
2025-02-28,defensive
2025-03-04,defensive
2025-03-05,defensive
2025-03-06,defensive
2025-03-07,defensive
2025-03-10,defensive
2025-03-11,defensive
2025-03-12,defensive
2025-03-13,defensive
2025-03-14,defensive
2025-03-17,defensive
2025-03-18,defensive
2025-03-19,defensive
2025-03-20,defensive
2025-03-21,defensive
2025-03-24,defensive
2025-03-25,defensive
2025-03-26,defensive
2025-03-27,defensive
2025-03-28,defensive
2025-03-31,defensive
2025-04-01,defensive
2025-04-02,defensive
2025-04-03,defensive
2025-04-04,defensive
2025-04-07,defensive
2025-04-08,defensive
2025-04-09,defensive
2025-04-10,defensive
2025-04-11,defensive
2025-04-14,defensive
2025-04-15,defensive
2025-04-16,defensive
2025-04-17,defensive
2025-04-18,defensive
2025-04-21,defensive
2025-04-22,defensive
2025-04-23,defensive
2025-04-24,defensive
2025-04-25,defensive
2025-04-28,defensive
2025-04-29,defensive
2025-04-30,defensive
2025-05-02,defensive
2025-05-07,defensive
2025-05-08,defensive
2025-05-09,defensive
2025-05-12,defensive
2025-05-13,defensive
2025-05-14,defensive
2025-05-15,defensive
2025-05-16,defensive
2025-05-19,defensive
2025-05-20,defensive
2025-05-21,defensive
2025-05-22,defensive
2025-05-23,defensive
2025-05-26,defensive
2025-05-27,defensive
2025-05-28,defensive
2025-05-29,defensive
2025-05-30,defensive
2025-06-02,defensive
2025-06-04,defensive
2025-06-05,defensive
2025-06-09,defensive
2025-06-10,defensive
2025-06-11,growth
2025-06-12,growth
2025-06-13,growth
2025-06-16,growth
2025-06-17,growth
2025-06-18,growth
2025-06-19,growth
2025-06-20,growth
2025-06-23,growth
2025-06-24,growth
2025-06-25,growth
2025-06-26,growth
2025-06-27,growth
2025-06-30,growth
2025-07-01,growth
2025-07-02,growth
2025-07-03,growth
2025-07-04,growth
2025-07-07,growth
2025-07-08,growth
2025-07-09,growth
2025-07-10,growth
2025-07-11,growth
2025-07-14,growth
2025-07-15,growth
2025-07-16,growth
2025-07-17,growth
2025-07-18,growth
2025-07-21,growth
2025-07-22,growth
2025-07-23,growth
2025-07-24,growth
2025-07-25,growth
2025-07-28,growth
2025-07-29,growth
2025-07-30,growth
2025-07-31,growth
2025-08-01,growth
2025-08-04,growth
2025-08-05,growth
2025-08-06,growth
2025-08-07,growth
2025-08-08,growth
2025-08-11,growth
2025-08-12,growth
2025-08-13,growth
2025-08-14,growth
2025-08-18,growth
2025-08-19,growth
2025-08-20,growth
2025-08-21,growth
2025-08-22,defensive
2025-08-25,growth
2025-08-26,defensive
2025-08-27,defensive
2025-08-28,defensive
2025-08-29,defensive
2025-09-01,defensive
2025-09-02,defensive
2025-09-03,defensive
2025-09-04,defensive
2025-09-05,defensive
2025-09-08,defensive
2025-09-09,defensive
2025-09-10,defensive
2025-09-11,defensive
2025-09-12,defensive
2025-09-15,defensive
2025-09-16,defensive
2025-09-17,defensive
2025-09-18,defensive
2025-09-19,defensive
2025-09-22,defensive
2025-09-23,defensive
2025-09-24,defensive
2025-09-25,defensive
2025-09-26,defensive
2025-09-29,defensive
2025-09-30,defensive
2025-10-01,defensive
2025-10-02,defensive
2025-10-10,defensive
2025-10-13,defensive
2025-10-14,defensive
2025-10-15,defensive
2025-10-16,defensive
2025-10-17,defensive
2025-10-20,defensive
2025-10-21,defensive
2025-10-22,defensive
2025-10-23,growth
2025-10-24,growth
2025-10-27,growth
2025-10-28,growth
2025-10-29,growth
2025-10-30,growth
2025-10-31,growth
2025-11-03,growth
2025-11-04,growth
2025-11-05,growth
2025-11-06,growth
2025-11-07,growth
2025-11-10,growth
2025-11-11,growth
2025-11-12,growth
2025-11-13,growth
2025-11-14,growth
2025-11-17,growth
2025-11-18,growth
2025-11-19,growth
